Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29305-28487,TE,Jeff,Jeff Heuerman,Heuerman,3.333333333,6,4600,DEN@KC,DEN,KC,,,
29305-39818,RB,Wayne,Wayne Gallman Jr.,Gallman Jr.,2.620000076,5,4600,WAS@NYG,NYG,WAS,,,
29305-28570,TE,Nick,Nick Vannett,Vannett,3.4,5,4600,SEA@DET,SEA,DET,Q,Back,
29305-14336,RB,Jacquizz,Jacquizz Rodgers,Rodgers,1.833333333,6,4500,TB@CIN,TB,CIN,,,
29305-46088,RB,Jhurell,Jhurell Pressley,Pressley,0,0,4500,WAS@NYG,NYG,WAS,,,
29305-24589,WR,Jaron,Jaron Brown,Brown,5.699999809,4,4500,SEA@DET,SEA,DET,,,
29305-41997,WR,River,River Cracraft,Cracraft,0,0,4500,DEN@KC,DEN,KC,,,
29305-14358,WR,Dwayne,Dwayne Harris,Harris,0.64000001,5,4500,IND@OAK,OAK,IND,,,
29305-55323,RB,Jaylen,Jaylen Samuels,Samuels,0,0,4500,CLE@PIT,PIT,CLE,,,
29305-24621,WR,Charone,Charone Peake,Peake,0,1,4500,NYJ@CHI,NYJ,CHI,,,
29305-30775,WR,Justin,Justin Hunter,Hunter,0.550000012,2,4500,CLE@PIT,PIT,CLE,,,
29305-41042,WR,Marcell,Marcell Ateman,Ateman,0,0,4500,IND@OAK,OAK,IND,,,
29305-79972,WR,Chad,Chad Williams,Williams,2.814285823,7,4500,SF@ARI,ARI,SF,,,
29305-42095,WR,ArDarius,ArDarius Stewart,Stewart,1.158333302,12,4500,NYJ@CHI,NYJ,CHI,,,
29305-79982,RB,Alex,Alex Armah,Armah,1.75,4,4500,BAL@CAR,CAR,BAL,,,
29305-52345,WR,Brandon,Brandon Powell,Powell,0,0,4500,SEA@DET,DET,SEA,,,
29305-27771,WR,Cody,Cody Latimer,Latimer,3.450000048,4,4500,WAS@NYG,NYG,WAS,IR,Hamstring,
29305-84098,WR,Jawill,Jawill Davis,Davis,1.233333349,3,4500,WAS@NYG,NYG,WAS,Q,Concussion,
29305-83083,WR,Justin,Justin Watson,Watson,0,0,4500,TB@CIN,TB,CIN,,,
29305-83086,WR,Reece,Reece Fountain,Fountain,0,0,4500,IND@OAK,IND,OAK,,,
29305-47249,WR,Darvin,Darvin Kidsy,Kidsy,0,0,4500,WAS@NYG,WAS,NYG,,,
29305-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,0,0,4500,TB@CIN,TB,CIN,,,
29305-65706,WR,Deontay,Deontay Burnett,Burnett,1.399999976,1,4500,NYJ@CHI,NYJ,CHI,,,
29305-40118,WR,Steven,Steven Mitchell Jr.,Mitchell Jr.,0,0,4500,GB@LAR,LAR,GB,,,
29305-52410,WR,Josh,Josh Malone,Malone,0.850000024,2,4500,TB@CIN,CIN,TB,,,
29305-83136,WR,Jalen,Jalen Tolliver,Tolliver,0,0,4500,SF@ARI,ARI,SF,,,
29305-41155,RB,Taquan,Taquan Mizzell,Mizzell,0,0,4500,NYJ@CHI,CHI,NYJ,,,
29305-83140,RB,Christopher,Christopher Ezeala,Ezeala,0,0,4500,BAL@CAR,BAL,CAR,,,
29305-22754,TE,Garrett,Garrett Celek,Celek,2.599999905,4,4500,SF@ARI,SF,ARI,,,
29305-52451,RB,Samaje,Samaje Perine,Perine,0.349999994,2,4500,WAS@NYG,WAS,NYG,,,
29305-40167,RB,Gus,Gus Edwards,Edwards,2.099999905,2,4500,BAL@CAR,BAL,CAR,,,
29305-40170,WR,Stacy,Stacy Coley,Coley,0,2,4500,WAS@NYG,NYG,WAS,,,
29305-28907,WR,Alex,Alex Erickson,Erickson,1.171428544,7,4500,TB@CIN,CIN,TB,,,
29305-11504,WR,Andre,Andre Roberts,Roberts,1.45714283,7,4500,NYJ@CHI,NYJ,CHI,,,
29305-44280,WR,JoJo,JoJo Natson Jr.,Natson Jr.,0,4,4500,GB@LAR,LAR,GB,,,
29305-53498,WR,Richie,Richie James Jr.,James Jr.,0.400000016,3,4500,SF@ARI,SF,ARI,,,
29305-41211,WR,Janarion,Janarion Grant,Grant,0,2,4500,BAL@CAR,BAL,CAR,,,
29305-45309,WR,Alonzo,Alonzo Russell,Russell,0,0,4500,WAS@NYG,NYG,WAS,,,
29305-55552,RB,Jeff,Jeff Wilson,Wilson,0,0,4500,SF@ARI,SF,ARI,,,
29305-22800,RB,Derrick,Derrick Coleman,Coleman,0.75,4,4500,SF@ARI,ARI,SF,,,
29305-83221,RB,De'Lance,De'Lance Turner,Turner,1.549999952,2,4500,BAL@CAR,BAL,CAR,IR,Hamstring,
29305-33047,WR,Chris,Chris Moore,Moore,2.300000032,6,4500,BAL@CAR,BAL,CAR,,,
29305-46374,WR,Tanner,Tanner Gentry,Gentry,1.25,4,4500,NYJ@CHI,CHI,NYJ,,,
29305-31015,WR,DeAndrew,DeAndrew White,White,1.450000048,2,4500,BAL@CAR,CAR,BAL,,,
29305-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,1.899999976,1,4500,GB@LAR,LAR,GB,,,
29305-56648,RB,Jeremy,Jeremy McNichols,McNichols,0.400000006,1,4500,DEN@KC,DEN,KC,,,
29305-40298,WR,Derrick,Derrick Willies,Willies,7.599999905,1,4500,CLE@PIT,CLE,PIT,IR,Shoulder,
29305-38269,RB,Cameron,Cameron Artis-Payne,Artis-Payne,3.240000153,5,4500,BAL@CAR,CAR,BAL,,,
29305-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,0.118181814,11,4500,DEN@KC,DEN,KC,,,
29305-29064,WR,Trey,Trey Griffey,Griffey,0,0,4500,CLE@PIT,PIT,CLE,,,
29305-43416,WR,Trent,Trent Taylor,Taylor,4.600000064,6,4500,SF@ARI,SF,ARI,,,
29305-22938,WR,Rod,Rod Streater,Streater,-1.100000024,1,4500,CLE@PIT,CLE,PIT,IR,Neck,
29305-80289,WR,Kendrick,Kendrick Bourne,Bourne,4.142857143,7,4500,SF@ARI,SF,ARI,,,
29305-28065,WR,Jehu,Jehu Chesson,Chesson,0,1,4500,WAS@NYG,WAS,NYG,,,
29305-32161,WR,Gehrig,Gehrig Dieter,Dieter,0,0,4500,DEN@KC,KC,DEN,,,
29305-80299,RB,Patrick,Patrick Ricard,Ricard,3.799999952,4,4500,BAL@CAR,BAL,CAR,,,
29305-26038,TE,Tyler,Tyler Kroft,Kroft,1.119999981,5,4500,TB@CIN,CIN,TB,O,Foot,
